Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
1995-09-30,3.36,-1.86,-0.11,0.99,0.4,0.43,2.86,2.1933149026820042,0.20010980872486991,0.5145007171024273,-0.807225060108474,-0.07771536697047732,1
1995-10-31,-1.51,-4.07,-0.49,1.93,-0.1,0.47,4.17,2.1640241608788795,0.23777061351639073,0.3949645718373274,-0.31542070211071155,-0.23774670743189028,1
1995-11-30,3.96,-1.06,0.52,-0.57,1.0,0.42,-0.72,2.009128858641699,0.2405090714338481,0.4184735408962323,-0.8046430373197851,-0.21664743909124784,1
1995-12-31,1.04,0.65,0.24,-1.44,3.02,0.49,2.48,1.9242831812966907,0.10999861830817108,0.34231697158172486,-0.8175694140837896,-0.2685088048242941,1
1996-01-31,2.26,-2.64,0.46,0.26,2.3,0.43,0.57,1.9374598207237226,-0.2628957811568507,0.6363123397445138,0.4339391693132098,-0.4640343041065286,1
1996-02-29,1.33,1.77,-1.05,0.16,-1.89,0.39,0.57,1.62009719102918,0.1921710340705231,0.49913794166997755,-0.4232956784223587,-0.09752744985510707,1
1996-03-31,0.74,1.56,0.42,1.44,-0.95,0.39,-1.85,1.9568346799466667,0.35775442740131913,0.5562680970796234,0.16252352245873047,-0.07606314512478331,1
1996-04-30,2.05,4.7,-3.97,-0.2,-2.03,0.46,-0.94,2.2375793145079728,-0.12470350657127116,0.8644911984371791,0.2389156132241879,0.5436003054359614,1
1996-05-31,2.36,3.23,-0.9,0.03,-0.33,0.42,1.62,2.251496187487901,0.1079010865311616,0.8560715221263979,-0.4689880588864774,0.6998598078194131,1
1996-06-30,-1.13,-3.67,2.33,3.5,1.2,0.4,1.02,2.435380137879137,0.10044196691452109,0.8078408305194478,-0.4151322196377156,0.6992144804598615,1
1996-07-31,-5.96,-3.78,5.19,2.9,2.68,0.45,-0.15,2.3010316245124764,0.5771965838390265,0.6618990176001878,-0.3941156941878732,0.16654167303155484,1
1996-08-31,2.77,2.58,-0.82,-0.38,-2.47,0.41,-0.02,2.2302129564323305,0.380671233246543,0.4917904401035189,-0.6851464646704734,0.12006299180045628,1
1996-09-30,5.01,-1.41,-2.74,1.3,-2.13,0.44,2.67,2.3994022639729726,0.27160915042114486,0.6973282113067818,-0.037371293945501385,-0.01716281389808149,1
1996-10-31,0.87,-3.79,4.88,1.38,2.97,0.42,3.72,2.2578619262617856,0.1255228499673478,0.6407061748918882,-0.08816418508636996,0.08928960080045685,1
1996-11-30,6.25,-3.82,1.4,2.06,-0.69,0.41,-2.35,2.1724579394034387,0.02469836043450087,0.5744081005650189,-0.0008065810445080357,0.030613529628437136,1
1996-12-31,-1.7,3.19,1.28,0.23,1.49,0.46,0.53,2.0717669068659084,0.3963192835500924,0.43400712282070947,-0.09021966602048966,0.2860177809444874,1
1997-01-31,4.97,-1.82,-1.44,1.22,-0.07,0.45,1.87,2.1312912745421264,0.678273951799665,0.4042350571739488,-0.30513651546489295,0.0442567469254407,1
1997-02-28,-0.48,-2.54,5.61,0.72,3.47,0.39,-2.18,2.0912015604213203,0.6481797682328274,0.2874255956794483,-0.2040793469046867,0.056468679488206525,1
