Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,Regime,LaggedRegime
1995-11-30,3.96,-1.06,0.52,-0.57,1.0,0.42,-0.72,2.0098614198902505,0.23533815090046925,0.4194388919040641,-0.8023877655124129,1,1
1995-12-31,1.04,0.65,0.24,-1.44,3.02,0.49,2.48,1.924992329811666,0.10518178061038005,0.3424424060270258,-0.81478034221167,1,1
1996-01-31,2.26,-2.64,0.46,0.26,2.3,0.43,0.57,1.938045532306438,-0.268460984602746,0.6334298072125824,0.4387224335287718,1,1
1996-02-29,1.33,1.77,-1.05,0.16,-1.89,0.39,0.57,1.6206581920219298,0.1871771477743685,0.5002969966313618,-0.4222161403890221,1,1
1996-03-31,0.74,1.56,0.42,1.44,-0.95,0.39,-1.85,1.9574473226912203,0.35246395010962356,0.5582810348267271,0.16333512007781284,1,1
1996-04-30,2.05,4.7,-3.97,-0.2,-2.03,0.46,-0.94,2.237083864565232,-0.1317911397546669,0.8681341768822047,0.23373326665875066,1,1
1996-05-31,2.36,3.23,-0.9,0.03,-0.33,0.42,1.62,2.2510211702534035,0.10068842416803526,0.8616183348385854,-0.47573607374052607,1,1
1996-06-30,-1.13,-3.67,2.33,3.5,1.2,0.4,1.02,2.434913306433688,0.0934206557631268,0.813281123813571,-0.42186473970132154,1,1
1996-07-31,-5.96,-3.78,5.19,2.9,2.68,0.45,-0.15,2.3015277973180743,0.5711646271773044,0.6662363180150629,-0.39571219256675894,1,1
1996-08-31,2.77,2.58,-0.82,-0.38,-2.47,0.41,-0.02,2.230676272951122,0.37531147137037396,0.49500749167040126,-0.686224773502735,1,1
1996-09-30,5.01,-1.41,-2.74,1.3,-2.13,0.44,2.67,2.3998886878499923,0.26548499650169743,0.6992121257563643,-0.037074971818568295,1,1
1996-10-31,0.87,-3.79,4.88,1.38,2.97,0.42,3.72,2.258129137143212,0.11971539549760749,0.6425587332161101,-0.08889752709702717,1,1
1996-11-30,6.25,-3.82,1.4,2.06,-0.69,0.41,-2.35,2.1727092007624305,0.019191064254762902,0.575576520228341,-0.0009614200719431727,1,1
1996-12-31,-1.7,3.19,1.28,0.23,1.49,0.46,0.53,2.0720071336821153,0.3914835592292148,0.4382462675517759,-0.09300423401376878,1,1
1997-01-31,4.97,-1.82,-1.44,1.22,-0.07,0.45,1.87,2.1320344183213256,0.6736473326736405,0.408199743161498,-0.3055760366192931,1,1
1997-02-28,-0.48,-2.54,5.61,0.72,3.47,0.39,-2.18,2.091919187533779,0.6441488392814857,0.2913051513475721,-0.2046499543502166,1,1
1997-03-31,-5.02,-0.41,3.39,0.39,1.53,0.43,0.88,2.210571855329419,0.9090361716204389,0.24449004979954542,-0.6352042589194208,1,1
1997-04-30,4.04,-5.7,0.0,3.36,-1.02,0.43,4.83,2.483470981568987,0.4985979120960151,0.44007592048289357,-0.6601629124693104,0,1
1997-05-31,6.73,4.68,-4.11,-1.04,-2.76,0.49,-5.19,2.388048390643102,0.537934925127494,0.2597748023096811,-0.8286582151731329,0,0
1997-06-30,4.1,1.17,1.44,0.56,0.45,0.37,2.59,2.3851532536217586,0.29474215134508674,0.3386059582050238,-0.20130244932564317,0,0
1997-07-31,7.31,-2.74,0.13,0.18,-2.56,0.43,3.7,2.2460522942562684,0.48513716720838956,0.06016986420824741,-0.3968160530704758,0,0
1997-08-31,-4.09,7.5,1.13,-1.02,-0.17,0.41,-2.57,2.300604584788219,0.5012879217196725,0.09259395573662448,0.20390000147525233,0,0
1997-09-30,5.34,2.48,0.24,-1.58,-0.93,0.44,1.46,2.2594277438347987,0.5421590808639078,0.05305735868262651,0.20082940590932738,0,0
1997-10-31,-3.81,-0.56,2.33,0.75,2.01,0.42,-0.53,2.152363445359162,0.7438160379807854,-0.2293628037880661,-0.004110036764780405,0,0
1997-11-30,2.99,-5.01,1.22,3.08,1.73,0.39,0.38,1.9463467164877304,1.3573611737057887,-0.6673348902197683,0.3518219328898335,0,0
1997-12-31,1.36,-2.09,3.74,0.64,1.95,0.48,3.91,2.0606087816154153,1.000817691949123,-0.546393654871781,-0.23403060172421222,0,0
1998-01-31,0.14,-1.28,-1.68,0.91,-0.62,0.43,0.05,1.9570943211235141,0.6551326387101537,-0.47322680910610687,-0.13486769108419466,0,0
1998-02-28,7.04,0.05,-0.93,-0.37,-2.58,0.39,-1.19,1.9870448516369261,0.5497473478807391,-0.4544836818400228,-0.7505030412555221,0,0
1998-03-31,4.76,-0.73,1.38,-0.55,-0.23,0.39,2.13,2.0377408687274494,0.5936881247966298,-0.4429799675425931,-0.7408422109960332,0,0
1998-04-30,0.74,0.01,1.03,-1.68,-0.36,0.43,0.76,2.105285141038815,0.5651113699806362,-0.566907602596558,-0.22622137012858484,0,0
1998-05-31,-3.05,-3.0,3.41,1.03,2.47,0.4,1.91,2.22957299386713,0.3170559438503304,-0.3915842353936346,0.12215188664705674,0,0
1998-06-30,3.21,-3.61,-2.03,-0.26,-3.03,0.41,7.26,2.136155094247581,0.5138815917778007,-0.5719000168984268,-0.2606506227200372,0,0
